,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Jake Cave,32.3,2.072,159752021,,597500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Rob Refsnyder,34.0,2.121,157052021,,570500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Danny Coulombe,35.4,2.054,157052021,,570500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Luis Arraez,28.0,1.121,16112021,,611000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Jorge Alcala,29.7,1.005,157552021,,575500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Willians Astudillo,33.4,1.158,157352021,,573500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Juan Minaya,34.5,2.031,"1 yr, TBD (2021)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Luke Farrell,33.8,1.137,"1 yr, TBD (2021)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Alex Kirilloff,27.4,0.000,157052021,,570500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
9,Bailey Ober,29.7,,"1 yr, TBD (2021)",,TBD,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
10,Joe Ryan,28.8,,"1 yr, TBD (2021)",,TBD,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
11,Estimated salaries for other pre-arbitration players,6275500,,,,,,,,,,
